time_stamp,time_index,same_time_count,time,period,adj_time,away,home,total,play,player,fg_makes,fg_misses,3_makes,3_misses,ft_makes,ft_misses,points,team
3 8:57 58 61 1,3 8:57 58 61,1,1900-01-01 00:08:57,3,0 days 00:27:03,58,61,119,Bam Adebayo defensive rebound,,,,,,,,,
3 9:00 58 61 1,3 9:00 58 61,1,1900-01-01 00:09:00,3,0 days 00:27:00,58,61,119,Wesley Matthews misses 24-foot three point jumper,Wesley Matthews,,,,1,,,,
3 9:03 58 61 1,3 9:03 58 61,1,1900-01-01 00:09:03,3,0 days 00:26:57,58,61,119,Andre Drummond offensive rebound,,,,,,,,,
3 9:07 58 61 1,3 9:07 58 61,1,1900-01-01 00:09:07,3,0 days 00:26:53,58,61,119,Bam Adebayo blocks Wesley Matthews 's 5-foot driving layup,Wesley Matthews,,1,,,,,,
3 9:23 58 61 1,3 9:23 58 61,1,1900-01-01 00:09:23,3,0 days 00:26:37,58,61,119,Victor Oladipo makes three point jumper (Trevor Ariza assists),Victor Oladipo,,,1,,,,3,Miami Heat
3 9:33 58 58 1,3 9:33 58 58,1,1900-01-01 00:09:33,3,0 days 00:26:27,58,58,116,Wesley Matthews bad pass (Victor Oladipo steals),,,,,,,,,
3 9:43 58 58 1,3 9:43 58 58,1,1900-01-01 00:09:43,3,0 days 00:26:17,58,58,116,Andre Drummond defensive rebound,,,,,,,,,
3 9:47 58 58 1,3 9:47 58 58,1,1900-01-01 00:09:47,3,0 days 00:26:13,58,58,116,Bam Adebayo misses 14-foot jumper,Bam Adebayo,,1,,,,,,
3 9:52 58 58 1,3 9:52 58 58,1,1900-01-01 00:09:52,3,0 days 00:26:08,58,58,116,Wesley Matthews personal foul,,,,,,,,,
3 9:55 58 58 1,3 9:55 58 58,1,1900-01-01 00:09:55,3,0 days 00:26:05,58,58,116,Victor Oladipo defensive rebound,,,,,,,,,
3 9:57 58 58 1,3 9:57 58 58,1,1900-01-01 00:09:57,3,0 days 00:26:03,58,58,116,Markieff Morris misses 24-foot three point jumper,Markieff Morris,,,,1,,,,
3 9:59 58 58 1,3 9:59 58 58,1,1900-01-01 00:09:59,3,0 days 00:26:01,58,58,116,Kentavious Caldwell-Pope offensive rebound,,,,,,,,,
3 10:01 58 58 1,3 10:01 58 58,1,1900-01-01 00:10:01,3,0 days 00:25:59,58,58,116,Kentavious Caldwell-Pope misses layup,Kentavious Caldwell-Pope,,,,,,,,
3 10:08 58 58 1,3 10:08 58 58,1,1900-01-01 00:10:08,3,0 days 00:25:52,58,58,116,Markieff Morris defensive rebound,,,,,,,,,
3 10:13 58 58 1,3 10:13 58 58,1,1900-01-01 00:10:13,3,0 days 00:25:47,58,58,116,Trevor Ariza misses 24-foot three point jumper,Trevor Ariza,,,,1,,,,
